N,P,K,temperature,humidity,ph,rainfall,label
15.16,11.38,7.55,14.94,88.98,6.59,106.39,orange
17.43,23.37,39.47,19.68,82.97,6.74,146.12,pomegranate
3.85,21.64,42.58,23.1,95.68,5.93,107.03,pomegranate
3.74,19.82,44.84,25.92,53.02,6.49,96.37,mango
98.2,18.27,50.58,27.74,88.06,6.67,45.34,watermelon
56.78,60.44,51.3,25.63,98.3,7.07,157.9,papaya
49.58,63.56,57.58,34.62,94.32,7.6,135.24,papaya
93.4,76.51,20.75,20.74,62.01,5.91,82.96,maize
3.99,59.37,15.39,18.13,22.35,5.64,141.07,kidneybeans
15.91,134.51,198.42,6.48,93.24,6.84,106.64,apple
93.45,17.74,47.6,23.39,88.84,7.32,17.18,muskmelon
107.71,30.34,36.04,25.93,55.81,6.81,173.46,coffee
63.65,40.44,40.0,25.14,86.24,6.1,229.42,rice
80.7,76.49,52.72,30.82,86.29,5.91,173.8,banana
91.95,48.21,40.57,23.58,86.17,6.56,279.53,rice
63.71,45.21,46.73,27.98,76.19,6.1,150.25,jute
115.58,25.24,34.22,25.72,62.21,5.9,179.72,coffee
6.14,59.63,17.39,24.26,51.92,7.96,44.77,mothbeans
119.63,25.09,19.64,23.83,75.25,6.08,70.25,cotton
26.02,58.01,19.07,28.44,58.5,7.48,53.92,mothbeans
113.2,25.26,24.3,30.2,78.4,6.35,92.45,cotton
5.28,94.43,81.37,18.1,22.95,7.58,70.68,chickpea
10.62,137.79,209.81,14.7,88.81,6.55,70.9,grapes
92.72,14.36,50.8,24.86,91.56,7.33,20.34,muskmelon
35.58,73.26,74.75,23.96,13.21,7.61,83.5,chickpea
25.65,41.73,23.57,30.96,56.7,6.54,29.3,mothbeans
90.58,10.75,52.5,31.15,88.14,6.44,73.13,watermelon
102.75,20.32,25.1,27.41,76.8,6.85,74.63,cotton
13.11,31.6,22.96,34.98,85.6,6.41,52.67,mungbean
95.89,17.27,53.87,27.83,89.63,6.98,71.19,watermelon
6.77,20.49,29.79,33.48,51.32,7.49,91.14,mango
0.86,55.29,24.11,24.87,84.87,6.24,35.54,mungbean
12.05,28.36,44.17,26.34,57.41,6.17,60.54,mango
75.92,69.49,24.99,18.82,61.57,6.62,76.19,maize
95.73,8.59,49.8,25.65,90.87,6.25,17.03,muskmelon
58.73,69.61,51.67,28.69,93.24,6.22,131.84,papaya
113.87,32.17,28.65,23.1,68.58,6.01,222.08,coffee
89.35,58.96,38.1,24.76,84.08,6.57,284.31,rice
98.52,34.22,59.0,25.66,86.91,6.59,158.69,rice
106.98,33.23,28.18,28.29,65.64,6.81,174.78,coffee
80.0,51.36,22.74,19.79,67.31,6.47,64.2,maize
7.91,19.9,41.72,25.13,54.79,7.42,59.33,mango
93.57,19.79,48.32,28.36,83.02,6.68,48.22,watermelon
2.94,1.03,40.23,33.92,90.16,6.26,157.76,coconut
18.77,76.97,23.9,34.15,48.64,5.42,104.38,pigeonpeas
104.96,26.44,24.91,27.88,78.45,6.26,60.96,cotton
87.2,59.58,39.03,32.13,74.7,6.59,172.68,jute
32.22,92.09,82.0,21.07,19.76,7.99,80.73,chickpea
105.44,11.44,50.39,24.63,91.07,6.38,44.16,watermelon
94.58,16.11,48.4,27.55,93.55,5.62,57.75,watermelon
6.73,78.29,84.85,22.29,15.11,7.59,88.62,chickpea
1.59,62.42,85.79,19.41,17.72,7.51,87.71,chickpea
33.31,68.72,24.03,26.89,72.85,6.11,75.57,blackgram
118.35,38.36,38.15,29.09,73.78,6.13,235.11,coffee
28.07,45.56,15.23,29.26,42.25,7.05,52.26,mothbeans
13.43,63.57,77.11,21.95,19.29,6.47,88.21,chickpea
58.45,66.16,53.52,33.31,92.81,6.71,140.49,papaya
6.78,5.65,37.83,29.62,92.17,5.81,178.65,coconut
0.04,8.06,14.36,16.97,90.61,7.39,116.5,orange
38.3,43.19,26.04,28.24,68.96,6.79,45.95,blackgram
15.19,9.22,41.12,26.58,92.95,6.68,153.62,coconut
2.54,137.52,199.87,12.11,91.49,5.62,107.67,apple
29.42,76.82,17.07,17.03,20.48,5.79,129.56,kidneybeans
29.3,98.76,87.69,19.2,15.98,7.05,82.02,chickpea
11.13,62.83,21.12,18.64,70.93,7.52,53.79,lentil
23.77,30.17,24.7,32.24,84.36,7.23,34.63,mungbean
17.47,26.08,35.48,25.93,59.78,5.9,82.36,mango
13.98,13.64,5.38,18.41,92.11,7.38,132.62,orange
9.37,139.62,207.74,14.7,89.53,6.62,77.64,grapes
99.96,44.69,34.46,23.2,86.48,6.15,257.53,rice
5.85,23.07,40.54,19.57,84.42,6.81,107.29,pomegranate
102.39,28.07,18.71,28.24,76.81,5.82,98.95,cotton
98.3,72.22,51.01,28.44,80.93,7.15,155.47,banana
2.05,17.96,39.7,18.91,93.41,5.86,141.75,pomegranate
68.51,69.7,24.48,19.3,69.46,6.72,89.69,maize
83.98,53.45,49.82,33.2,73.13,6.77,160.71,jute
61.97,48.01,49.86,24.7,87.97,6.83,182.57,jute
12.09,128.25,191.28,12.27,80.77,6.12,74.47,grapes
4.35,53.16,27.59,26.1,68.03,7.33,34.88,blackgram
7.95,20.66,25.74,28.84,45.33,7.15,83.28,mango
104.52,89.19,41.18,30.02,87.93,6.78,177.5,banana
11.03,125.61,207.17,9.68,91.02,5.8,113.11,apple
64.4,47.67,42.34,25.62,86.92,6.62,177.85,jute
14.33,139.13,208.24,8.3,98.99,6.06,112.64,apple
71.83,33.82,42.61,25.82,84.22,5.95,192.99,rice
22.41,78.3,17.58,16.36,26.13,5.67,105.41,kidneybeans
55.34,65.75,57.86,25.48,97.39,6.21,171.18,papaya
81.46,43.64,50.18,23.42,88.46,5.66,283.76,rice
18.08,7.77,43.89,33.84,90.07,6.21,195.71,coconut
81.11,53.34,25.76,21.21,71.19,6.58,86.8,maize
107.33,37.89,27.17,23.34,59.64,6.38,191.29,coffee
84.37,35.13,51.87,19.39,88.47,6.26,257.58,rice
66.95,32.25,30.08,22.6,81.85,6.53,247.85,rice
13.76,71.63,23.83,27.01,51.04,5.42,135.18,pigeonpeas
14.83,66.7,29.99,34.27,67.03,6.03,38.03,blackgram
4.27,75.75,19.52,33.28,69.27,6.46,148.97,pigeonpeas
3.01,18.2,41.81,29.52,56.71,6.43,51.11,mango
17.89,64.28,15.89,27.51,68.68,6.97,163.22,pigeonpeas
15.56,9.4,14.1,15.27,90.65,6.45,119.68,orange
16.61,57.31,24.02,18.43,61.39,6.48,40.19,lentil
109.59,86.72,44.55,34.32,85.54,5.91,138.33,banana
94.53,72.11,57.7,34.65,82.16,6.16,141.87,banana
100.64,27.62,29.04,25.7,64.03,6.28,221.69,coffee
14.67,15.65,33.97,25.63,91.89,5.62,113.05,pomegranate
10.56,130.8,206.16,7.54,93.86,6.41,95.07,apple
0.65,24.53,37.62,25.27,94.54,5.71,127.27,pomegranate
94.33,55.86,47.22,28.86,76.41,6.08,193.48,jute
7.37,0.71,34.53,29.0,89.53,5.56,179.74,coconut
0.63,12.31,43.17,19.98,89.75,6.04,134.37,pomegranate
42.87,63.82,51.68,30.99,95.72,7.29,148.21,papaya
25.0,83.75,73.91,15.41,19.95,7.27,69.17,chickpea
114.53,29.5,18.68,26.86,83.1,7.02,75.58,cotton
115.89,71.84,59.76,23.86,88.28,6.4,168.77,banana
4.88,14.86,45.35,19.26,86.61,5.84,107.85,pomegranate
64.73,45.91,46.35,24.82,86.95,7.11,170.18,jute
22.03,63.63,21.42,32.92,52.37,5.6,144.9,pigeonpeas
7.04,20.11,48.29,21.88,88.52,6.38,124.59,pomegranate
19.8,61.12,20.65,34.06,65.84,7.16,25.16,blackgram
36.73,65.08,17.28,23.16,23.32,5.66,107.26,kidneybeans
14.9,52.65,18.61,32.43,79.8,6.38,37.39,mungbean
12.9,19.24,37.32,29.48,52.67,6.3,95.56,mango
57.03,55.94,46.17,25.28,95.1,7.09,128.47,papaya
95.6,11.49,50.76,27.1,89.65,6.51,62.21,watermelon
86.95,50.0,36.52,33.34,79.17,6.22,175.01,jute
107.59,79.12,40.8,30.76,77.71,6.95,156.46,banana
84.16,49.5,49.86,24.13,77.61,6.09,188.65,jute
16.69,137.9,185.65,8.26,79.94,5.94,66.41,grapes
15.2,128.6,205.96,5.04,95.5,6.51,125.38,apple
27.4,66.09,15.25,29.31,67.71,6.29,113.05,pigeonpeas
23.92,72.98,77.7,17.66,24.19,7.94,65.89,chickpea
109.09,19.58,23.77,21.57,80.73,6.05,94.24,cotton
11.45,21.37,40.38,18.17,95.37,5.88,148.4,pomegranate
3.47,64.02,85.05,19.36,19.17,6.27,84.2,chickpea
30.49,61.84,24.64,24.3,21.05,6.55,130.86,kidneybeans
39.03,62.82,20.52,15.12,24.86,6.91,125.58,kidneybeans
15.97,129.21,198.65,12.34,81.61,5.99,56.57,grapes
75.18,49.43,37.49,33.49,80.74,6.51,186.3,jute
98.7,13.97,45.5,28.72,93.7,6.38,33.54,muskmelon
21.71,74.82,16.73,32.87,66.01,6.14,165.33,pigeonpeas
84.35,37.18,34.75,23.52,89.78,6.82,275.42,rice
15.59,1.58,42.66,28.35,92.68,6.17,155.81,coconut
44.2,65.06,55.04,33.74,93.75,7.35,139.08,papaya
12.19,19.59,44.85,32.87,51.38,5.66,77.97,mango
34.66,83.34,88.89,16.44,22.79,6.75,95.76,chickpea
98.75,47.38,46.27,26.23,85.49,6.92,172.65,rice
1.06,78.07,22.49,32.01,54.06,5.63,185.74,pigeonpeas
18.14,72.8,18.74,33.09,45.83,5.07,126.12,pigeonpeas
22.87,70.3,17.67,30.74,61.34,5.68,144.97,pigeonpeas
13.19,130.0,202.84,13.22,97.42,6.24,114.31,apple
7.56,132.16,212.21,2.38,89.72,6.66,128.12,apple
4.18,76.64,89.23,16.57,17.23,6.94,84.58,chickpea
99.85,58.57,38.33,23.05,65.4,7.26,84.82,maize
94.89,11.15,46.6,28.13,89.21,6.67,26.59,muskmelon
4.4,12.62,9.01,10.83,88.16,7.06,103.95,orange
8.35,26.0,33.88,28.42,51.65,6.97,62.91,mango
1.36,130.27,209.62,14.82,90.07,6.05,60.35,grapes
11.23,64.64,21.02,20.79,67.64,7.35,55.8,lentil
36.11,88.57,80.04,24.38,19.39,6.24,96.3,chickpea
8.75,70.72,20.93,14.8,54.4,6.57,43.7,lentil
36.46,43.55,15.01,29.96,88.72,6.11,45.61,mungbean
26.4,65.35,19.11,30.98,67.14,5.56,116.14,pigeonpeas
92.68,74.04,22.77,18.97,64.51,5.82,56.21,maize
32.67,77.56,89.88,22.88,22.29,6.67,59.78,chickpea
16.28,44.53,19.07,27.82,88.75,7.02,59.91,mungbean
10.06,72.51,19.77,18.55,60.89,6.19,48.45,lentil
10.99,51.79,19.4,34.89,48.44,6.44,61.96,mothbeans
7.0,62.08,23.59,21.71,56.14,6.47,49.55,lentil
8.74,6.9,29.92,34.15,92.75,6.81,190.22,coconut
99.56,70.41,22.38,24.68,62.88,7.38,72.13,maize
28.3,58.17,18.61,26.95,46.69,6.41,67.3,mothbeans
108.56,25.88,27.65,26.43,56.87,6.76,221.83,coffee
19.53,69.12,20.64,23.57,74.12,5.96,48.15,lentil
93.26,87.78,40.68,33.93,80.5,6.34,101.03,banana
82.07,52.91,49.14,34.95,77.02,6.26,153.92,jute
7.81,56.57,21.56,18.38,68.41,7.15,50.92,lentil
59.87,67.05,55.27,30.87,95.36,6.08,135.64,papaya
90.06,15.45,47.14,26.32,82.06,6.01,59.25,watermelon
29.17,64.33,24.49,20.15,17.86,6.16,112.43,kidneybeans
103.2,27.43,29.28,22.82,84.21,6.64,74.56,cotton
17.73,16.03,27.7,27.64,60.25,6.96,54.89,mango
6.54,95.78,84.98,21.72,16.76,7.34,83.74,chickpea
119.39,25.07,33.43,21.59,75.28,5.98,220.36,coffee
111.32,80.48,44.57,26.61,75.62,6.11,156.08,banana
15.42,55.33,16.83,25.96,56.2,7.62,46.68,mothbeans
6.87,55.79,19.11,27.33,80.36,6.3,31.11,mungbean
29.35,69.2,22.05,24.91,44.44,6.75,176.41,pigeonpeas
116.89,38.65,33.97,29.38,61.04,6.39,234.86,coffee
1.17,10.74,12.94,18.8,93.51,6.7,113.95,orange
4.63,0.75,39.75,25.99,90.35,6.29,176.33,coconut
17.06,28.64,40.0,21.95,86.65,6.27,99.56,pomegranate
16.95,129.4,198.55,1.78,95.44,6.72,113.07,apple
14.84,9.57,31.55,32.98,88.39,5.33,168.85,coconut
16.19,5.81,40.33,29.2,90.97,6.1,159.83,coconut
15.81,134.98,199.47,11.63,82.45,6.05,67.1,grapes
82.87,37.01,53.27,20.26,86.55,5.98,289.18,rice
10.75,58.37,23.99,29.24,61.23,5.42,177.5,pigeonpeas
6.26,71.05,23.27,17.03,57.53,6.28,59.36,lentil
90.51,13.44,48.12,25.41,88.81,6.31,30.85,muskmelon
101.82,38.91,25.56,29.4,61.68,6.48,163.66,coffee
3.39,70.82,18.25,26.61,64.17,5.19,149.81,pigeonpeas
5.25,4.05,30.84,25.09,91.5,6.37,188.19,coconut
68.27,42.6,57.15,23.56,85.8,6.16,263.19,rice
2.22,5.46,26.53,28.04,89.02,6.2,149.08,coconut
88.83,36.45,43.55,21.13,85.09,5.51,209.43,rice
12.33,74.4,75.4,16.66,21.11,6.91,64.49,chickpea
27.73,76.0,16.54,34.77,41.68,5.01,137.99,pigeonpeas
91.12,15.78,45.8,28.95,83.27,6.17,56.22,watermelon
12.69,17.05,7.92,18.59,96.52,6.6,127.03,orange
36.1,77.74,72.58,24.39,13.68,6.99,98.55,chickpea
14.74,2.94,34.11,33.93,91.09,5.7,176.98,coconut
14.26,45.21,21.03,27.48,62.03,7.17,29.15,blackgram
17.41,22.51,31.46,32.48,56.31,6.41,70.74,mango
64.62,33.21,46.6,20.9,81.06,6.44,291.57,rice
14.69,29.78,34.21,20.65,85.37,5.99,124.66,pomegranate
16.42,121.34,202.74,1.12,90.88,5.56,109.66,apple
0.25,64.72,17.71,32.66,38.88,6.69,135.14,pigeonpeas
3.71,24.6,48.22,20.98,90.75,6.13,133.5,pomegranate
6.96,138.75,212.57,5.19,96.02,5.46,120.88,apple
28.18,55.9,16.18,25.82,89.16,6.68,40.24,mungbean
26.62,77.58,21.36,25.28,56.39,5.72,166.6,pigeonpeas
109.72,24.67,23.38,22.33,78.96,6.75,76.74,cotton
105.51,22.06,18.56,22.05,76.57,6.44,80.58,cotton
109.59,8.18,49.75,26.1,95.9,6.24,26.75,muskmelon
98.76,9.6,52.81,26.11,89.46,6.51,57.38,watermelon
116.65,27.46,29.82,23.7,80.75,6.59,68.83,cotton
3.71,42.21,16.36,32.34,39.59,6.72,50.73,mothbeans
29.22,43.97,22.01,26.0,45.82,6.01,42.47,mothbeans
104.46,19.3,51.07,27.82,85.84,6.32,68.77,watermelon
10.26,25.54,44.14,20.96,93.84,6.61,141.8,pomegranate
59.75,72.04,46.0,34.35,94.22,5.85,156.34,papaya
43.78,60.2,56.96,24.66,94.11,6.71,173.0,papaya
28.66,66.91,20.86,28.16,75.48,7.24,38.64,blackgram
2.03,122.78,202.21,18.57,83.25,6.67,73.13,grapes
23.14,66.07,22.38,24.0,56.05,6.82,132.5,pigeonpeas
97.81,40.3,46.98,24.62,83.51,6.91,170.36,jute
114.93,20.55,26.02,21.25,81.82,6.18,93.77,cotton
1.58,63.59,22.79,28.79,61.92,6.02,126.73,pigeonpeas
22.6,79.45,21.7,17.15,18.44,6.49,138.42,kidneybeans
49.5,57.99,47.99,32.85,94.95,5.91,131.96,papaya
96.91,12.1,48.61,26.29,87.44,5.9,53.89,watermelon
17.52,29.19,27.88,30.11,44.31,6.7,51.41,mango
94.41,59.7,39.16,23.33,88.43,5.85,180.69,rice
6.22,121.07,196.92,8.37,92.76,5.45,111.23,apple
9.99,88.46,86.57,22.2,19.31,6.44,88.16,chickpea
17.41,45.21,20.04,34.61,45.98,7.09,33.26,mothbeans
18.35,8.2,9.54,12.37,91.58,7.43,139.41,orange
117.19,25.04,25.11,31.12,81.98,6.06,78.7,cotton
23.22,64.15,27.75,31.63,62.91,7.03,42.52,blackgram
1.94,10.46,6.07,16.56,89.62,6.66,101.57,orange
109.22,24.05,23.9,28.77,82.88,5.82,88.16,cotton
19.35,126.36,199.56,14.15,95.45,6.13,109.54,apple
102.8,13.49,49.18,29.04,83.68,6.41,60.05,watermelon
97.57,33.46,59.11,21.86,80.9,6.14,236.63,rice
95.06,9.54,46.84,28.71,84.35,5.73,63.18,watermelon
14.83,42.6,23.56,31.65,53.52,6.79,40.23,mothbeans
3.22,12.96,7.06,14.56,92.14,7.24,124.09,orange
2.83,75.32,84.62,15.38,17.41,7.55,97.05,chickpea
97.14,17.11,50.32,26.03,89.44,5.71,64.46,watermelon
75.35,59.2,40.56,28.02,84.63,6.68,200.98,jute
104.97,38.24,30.59,29.52,68.2,6.1,161.2,coffee
9.32,73.86,86.79,23.81,21.21,7.69,78.87,chickpea
35.08,65.6,28.6,35.44,73.68,7.46,74.06,blackgram
12.4,50.55,16.31,32.13,78.75,7.2,43.64,mungbean
118.31,25.7,27.25,29.25,84.43,6.43,71.07,cotton
6.83,29.26,43.44,28.85,52.24,5.8,60.95,mango
30.44,47.43,17.29,30.12,78.99,7.49,48.2,blackgram
16.6,55.79,18.17,27.85,73.66,6.21,41.37,mungbean
17.55,10.71,42.69,18.56,95.17,6.5,143.55,pomegranate
54.42,71.2,54.13,31.19,98.17,6.84,162.79,papaya
5.37,73.32,23.78,19.2,22.52,5.61,136.97,kidneybeans
97.38,52.07,38.68,17.1,71.24,7.39,95.5,maize
42.68,73.96,56.54,28.21,92.1,6.12,171.66,papaya
10.75,95.46,85.43,15.52,13.96,7.39,77.28,chickpea
13.04,8.56,42.57,26.79,93.33,5.79,196.77,coconut
23.71,64.94,28.98,28.5,66.99,7.08,44.32,blackgram
99.4,10.53,50.93,25.0,88.23,6.27,24.55,muskmelon
13.56,15.99,30.25,32.14,52.71,6.51,95.63,mango
7.05,7.17,34.04,29.34,92.9,6.08,161.47,coconut
55.8,70.9,44.12,30.65,93.48,6.92,160.92,papaya
118.31,24.53,22.79,28.69,74.1,6.28,72.15,cotton
119.5,19.08,26.34,30.15,79.55,5.92,70.4,cotton
93.26,10.52,52.28,29.51,88.89,6.9,20.85,muskmelon
21.04,74.79,16.26,28.73,62.5,6.55,170.15,pigeonpeas
95.29,55.27,38.39,25.23,74.44,7.61,45.88,maize
6.75,74.53,21.95,18.79,57.36,7.11,55.8,lentil
4.93,24.5,31.54,32.8,49.15,6.28,76.19,mango
12.41,139.39,202.99,20.29,86.0,6.64,88.36,grapes
27.76,59.56,15.65,34.18,60.95,6.33,31.52,mothbeans
14.4,79.98,81.34,18.66,20.78,7.46,67.67,chickpea
92.57,51.05,49.37,34.29,74.81,7.07,177.68,jute
3.56,18.36,35.26,19.68,89.13,6.52,115.42,pomegranate
92.77,89.49,49.41,27.41,80.0,6.75,156.35,banana
90.55,17.64,51.28,26.27,93.62,7.21,38.82,muskmelon
0.95,65.41,19.97,25.73,72.77,6.31,50.0,blackgram
9.21,129.14,209.12,10.5,95.46,6.8,125.13,apple
86.18,73.13,55.33,33.52,76.26,7.08,178.01,banana
1.58,56.93,20.69,23.44,70.38,7.1,41.29,lentil
39.3,65.23,86.47,17.94,19.36,6.53,61.61,chickpea
2.79,13.5,8.97,12.67,93.67,5.78,125.18,orange
3.66,9.08,13.59,17.13,92.06,6.13,117.21,orange
4.93,26.75,42.85,24.8,87.89,5.56,104.01,pomegranate
1.13,11.34,8.7,11.02,89.39,6.69,99.4,orange
6.11,8.77,7.84,14.72,88.43,7.17,124.16,orange
6.43,9.32,40.82,30.72,87.49,5.98,181.95,coconut
0.59,3.91,28.74,26.84,92.77,6.94,159.06,coconut
89.1,72.92,27.32,20.73,65.78,5.48,63.76,maize
32.16,62.15,15.34,20.42,19.11,5.55,107.99,kidneybeans
